RunID	Sequenced	OnDell	Converted	InCloud	Downloaded	JobSubmitted	JobCompleted	BackToDell	Error	Closed
Auto_user_YGProton6-677-IONA_Test_20190222-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-678-IONA_Test_20190225-A2	0	0	0	0	0/0	0/12	0/12	0	0	1
Auto_user_YGProton6-679-IONA_Test_20190225-B2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-680-IONA_Test_20190226-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-681-IONA_Test_20190226-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-682-IONA_Test_20190228-A	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-683-IONA_Test_20190228-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-684-IONA_Test_20190305-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-685-IONA_Test_20190305-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-686-IONA_Test_20190306-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-687-IONA_Test_20190306-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-688-IONA_Test_20190307-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-979-IONA_Test_20190307-A2	1	1	1	10/10	0/10	0/9	0/9	0	0	1
Auto_user_YGProton6-689-IONA_Test_20190307-B1	1	1	1	10/10	10/10	9/9	9/9	0	0	1
Auto_user_YG3-980-IONA_Test_20190307-B2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-691-IONA_Test_20190308-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-692-IONA_Test_20190310-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-693-IONA_Test_20190310-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-694-IONA_Test_20190311-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-981-IONA_Test_20190311-A2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-695-IONA_Test_20190311-B1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-982-IONA_Test_20190311-B2	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-695-IONA_Test_20190311-B2	0	0	0	0	0/0	0/12	0/12	0	0	1
Auto_user_YGProton6-696-IONA_Test_20190313-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-697-IONA_Test_20190313-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-698-IONA_Test_20190314-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-983-IONA_Test_20190314-A2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-699-IONA_Test_20190314-B1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-984-IONA_Test_20190314-B2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-700-IONA_Test_20190318-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YG3-985-IONA_Test_20190318-A2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-701-IONA_Test_20190318-B1	1	1	1	10/10	10/10	9/9	9/9	0	0	1
Auto_user_YG3-986-IONA_Test_20190318-B2	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-702-IONA_Test_20190319-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-703-IONA_Test_20190319-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-704-IONA_Test_20190320-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-705-IONA_Test_20190320-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-706-IONA_Test_20190321-A1	1	1	1	12/12	12/12	11/11	11/11	0	0	1
Auto_user_YGProton6-707-IONA_Test_20190321-B1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-708-IONA_Test_20190322-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-709-IONA_Test_20190322-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-710-IONA_Test_20190325-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-711-IONA_Test_20190325-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-712-IONA_Test_20190327-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-713-IONA_Test_20190327-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-714-IONA_Test_20190328-A	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-715-IONA_Test_20190328-B	1	1	1	13/13	13/13	12/12	12/12	0	0	1
Auto_user_YGProton6-716-IONA_Test_20190401-A1	1	1	1	13/13	13/13	12/12	12/12	0	0	1
