RunID	Sequenced	OnDell	Converted	InCloud	Downloaded	JobSubmitted	JobCompleted	BackToDell	Error	Closed
161124_M02559_0219_000000000-G10M5	0	0	0	1	1	1	1	0	0	1
161129_M02559_0220_000000000-AU9RA	0	0	0	1	1	1	1	0	0	1
161206_M02559_0221_000000000-APC2D	0	0	0	1	1	1	1	0	0	1
161214_M02559_0222_000000000-ANRC9	0	0	0	1	1	1	1	0	0	1
161216_M02559_0223_000000000-AUWJN	0	0	0	1	1	1	1	0	0	1
161221_M02559_0224_000000000-ATEFH	0	0	0	1	1	1	1	0	0	1
161230_M02559_0225_000000000-AUHR3	0	0	0	1	1	1	1	0	0	1
170103_M02559_0226_000000000-ATLFB	0	0	0	1	1	1	1	0	0	1
170110_M02559_0227_000000000-AP2EJ	0	0	0	1	1	1	1	0	0	1
170120_M02559_0228_000000000-ATRA7	0	0	0	1	1	1	1	0	0	1
170124_M02559_0229_000000000-AY3L7	0	0	0	1	1	1	1	0	0	1
170124_M02559_0230_000000000-AY3L7	0	0	0	1	1	1	1	0	0	1
170203_M02559_0231_000000000-AUL2G	0	0	0	1	1	1	1	0	0	1
170216_M02559_0232_000000000-AP2TH	0	0	0	1	1	1	1	0	0	1
170221_M02559_0233_000000000-AUKWG	1	1	1	1	1	1	1	0	0	1
170307_M02559_0234_000000000-AP2GG	1	1	1	1	1	1	1	0	0	1
170310_M02559_0235_000000000-G10LK	1	1	1	1	1	1	1	0	0	1
170314_M02559_0236_000000000-AVMB4	1	1	1	1	1	1	1	0	0	1
170321_M02559_0237_000000000-AYWY7	1	1	1	1	1	1	1	0	0	1
170322_M02559_0238_000000000-D0R9D	1	1	1	1	1	1	1	0	0	1
170324_M02559_0239_000000000-G10EF	1	1	1	1	1	1	1	0	0	1
170327_M02559_0240_000000000-D20Y8	1	1	1	1	1	1	1	0	0	1
170329_M02559_0241_000000000-B24Y2	1	1	1	1	1	1	1	0	0	1
170330_M02559_0242_000000000-AWRWN	1	1	1	1	1	1	1	0	0	1
170407_M02559_0243_000000000-B24Y5	1	1	1	1	1	1	1	0	0	1
170412_M02559_0244_000000000-D22AB	1	1	1	1	1	1	1	0	0	1
170414_M02559_0245_000000000-AYWY6	1	1	1	1	1	1	1	0	0	1
170417_M02559_0246_000000000-D0YKR	1	1	1	1	1	1	1	0	0	1
170419_M02559_0247_000000000-D23VE	1	1	1	1	1	1	1	0	0	1
170421_M02559_0248_000000000-D2F5C	1	1	1	1	1	1	1	0	0	1
170424_M02559_0249_000000000-D2F6G	1	1	1	1	1	1	1	0	0	1
170426_M02559_0250_000000000-D2E3L	1	1	1	1	1	1	1	0	0	1
170427_M02559_0251_000000000-APV47	1	1	1	1	1	1	1	0	0	1
170428_M02559_0252_000000000-D2DHE	1	1	1	1	1	1	1	0	0	1
170503_M02559_0253_000000000-D0YGT	1	1	1	1	1	1	1	0	0	1
170505_M02559_0254_000000000-AW721	1	1	1	1	1	1	1	0	0	1
170509_M02559_0255_000000000-G121R	1	1	1	1	1	1	1	0	0	1
170509_M02559_0256_000000000-D2J5Y	1	1	1	1	1	1	1	0	0	1
170510_M02559_0257_000000000-D2F66	1	1	1	1	1	1	1	0	0	1
170511_M02559_0258_000000000-G1808	1	1	1	1	1	1	1	0	0	1
170512_M02559_0259_000000000-AVL9T	1	1	1	1	1	1	1	0	0	1
170513_M02559_0260_000000000-G13UY	0	0	0	1	1	1	1	0	0	1
170514_M02559_0261_000000000-G146J	1	1	1	1	1	1	1	0	0	1
170515_M02559_0262_000000000-G13WD	1	1	1	1	1	1	1	0	0	1
170516_M02559_0263_000000000-D2DBR	1	1	1	1	1	1	1	0	0	1
170517_M02559_0264_000000000-AU3YR	1	1	1	1	1	1	1	0	0	1
170518_M02559_0265_000000000-G1489	1	1	1	1	1	1	1	0	0	1
170519_M02559_0266_000000000-G1999	1	1	1	1	1	1	1	0	0	1
170520_M02559_0267_000000000-D2HHU	1	1	1	1	1	1	1	0	0	1
170521_M02559_0268_000000000-D2GAK	1	1	1	1	1	1	1	0	0	1
170522_M02559_0269_000000000-D2HYC	1	1	1	1	1	1	1	0	0	1
170523_M02559_0270_000000000-G1993	1	1	1	1	1	1	1	0	0	1
170524_M02559_0271_000000000-D2GBJ	1	1	1	1	1	1	1	0	0	1
170525_M02559_0272_000000000-D2HN2	1	1	1	1	1	1	1	0	0	1
170526_M02559_0273_000000000-D2HND	1	1	1	1	1	1	1	0	0	1
170527_M02559_0274_000000000-D2HLG	1	1	1	1	1	1	1	0	0	1
170528_M02559_0275_000000000-D2J0W	1	1	1	1	1	1	1	0	0	1
